index,sum_sq,df,F,PR(>F),Environment,Statistic
C(agent),5404.624666666667,2.0,40.07636721163802,8.286417860804672e-09,CartPole-v1,reward_mean
Residual,1820.585,27.0,,,CartPole-v1,reward_mean
C(agent),1925.4067476230293,2.0,31.418288461103856,8.949374397456698e-08,CartPole-v1,reward_std
Residual,827.320403690687,27.0,,,CartPole-v1,reward_std
C(agent),0.0006666666666666666,2.0,0.5000000000000001,0.6120365987940526,FrozenLake-v1,reward_mean
Residual,0.017999999999999995,27.0,,,FrozenLake-v1,reward_mean
C(agent),0.006,2.0,0.4999999999999998,0.6120365987940526,FrozenLake-v1,reward_std
Residual,0.1620000000000001,27.0,,,FrozenLake-v1,reward_std
C(agent),1.1558247619760875e-25,2.0,4.1992094873573595,0.025830251530727665,MountainCar-v0,reward_mean
Residual,3.715850407953054e-25,27.0,,,MountainCar-v0,reward_mean
C(agent),,2.0,,,MountainCar-v0,reward_std
Residual,0.0,27.0,,,MountainCar-v0,reward_std
