index,reward_mean,reward_std,Agent,Environment
mean,32.019999999999996,16.30760881544476,PPO,CartPole-v1
std,5.337456739351096,4.654972815582214,PPO,CartPole-v1
mean,46.34,21.81179229459267,A2C,CartPole-v1
std,9.17523236157477,6.7118234728431645,A2C,CartPole-v1
mean,13.55,2.7474663329888855,DQN,CartPole-v1
std,9.466461265377305,5.020671574057333,DQN,CartPole-v1
mean,0.01,0.030000000000000006,PPO,FrozenLake-v1
std,0.03162277660168379,0.09486832980505139,PPO,FrozenLake-v1
mean,0.0,0.0,A2C,FrozenLake-v1
std,0.0,0.0,A2C,FrozenLake-v1
mean,0.01,0.030000000000000006,DQN,FrozenLake-v1
std,0.03162277660168379,0.09486832980505139,DQN,FrozenLake-v1
mean,-200.0,0.0,PPO,MountainCar-v0
std,0.0,0.0,PPO,MountainCar-v0
mean,-200.0,0.0,A2C,MountainCar-v0
std,0.0,0.0,A2C,MountainCar-v0
mean,-200.0,0.0,DQN,MountainCar-v0
std,0.0,0.0,DQN,MountainCar-v0
